STA_SEQ,Station_Name,Proximity_Landmark,Municipality_Name,ADB_SegmentID,YLat,XLong,sbas_no
14270,Ketch Brook,downstream Rye Street,EAST WINDSOR,NOSEG,41.8797,-72.5744,4207
14271,"West Hartford Reservoir No 3 Unnamed outflow from (""Kilkenney Brook"")",downstream dirt road Reservoir 3,WEST HARTFORD,NOSEG,41.7557,-72.7888,4403
14272,Leadmine Brook,Leadmine Road,THOMASTON,CT6908-00_01,41.702,-73.0575,6908
14273,Limekiln Brook,upstream side of Route 6 Crossing,DANBURY,CT6606-00_01,41.4096,-73.4142,6606
14274,Limekiln Brook tributary to,behind shopping plaza at pump station,DANBURY,NOSEG,41.4066,-73.4126,6606
14275,Little River,upstream Peake Brook Road,WOODSTOCK,CT3708-00_01,41.928,-71.9331,3708
14276,Little River,downstream 150 meters Peake Brook Road,WOODSTOCK,CT3708-00_01,41.928,-71.9315,3708
14277,Little River,upstream Potash Hill Road,SPRAGUE,CT3805-00_03,41.6393,-72.0582,3805
14278,Little River,upstream Bushell Hollow Road Route 138,SPRAGUE,CT3805-00_02,41.6158,-72.0416,3805
14279,Little River,adjacent Wire company near mouth,SEYMOUR,CT6920-00_01,41.3965,-73.0767,6920
14280,Little River,downstream Route 67,OXFORD,CT6920-00_02,41.4058,-73.0926,6920
14281,Lyman Brook,upstream confluence with Blackledge River,MARLBOROUGH,CT4707-12_01,41.6077,-72.4263,4707
14282,Mad River,at South Main Street,WATERBURY,CT6914-00_01,41.5448,-73.0373,6914
14283,Mad River,between Mouth and Old Route 8 crossing,WINCHESTER,CT4302-00_01,41.9199,-73.0597,4302
14284,Mad River,near mouth (Washington St.),WATERBURY,CT6914-00_01,41.5439,-73.0384,6914
14285,Mad River,upstream Frost Street,WATERBURY,CT6914-00_03a,41.5603,-73.0029,6914
14286,Mattabesset River,upstream Route 71A,BERLIN,CT4600-00_06,41.6201,-72.7937,4600
14287,Mattabesset River,upstream Route 372,CROMWELL,CT4600-00_02,41.6088,-72.7144,4600
14288,Mattabesset River,downstream Berlin Street,CROMWELL,CT4600-00_02,41.6189,-72.7127,4600
14289,Menunketesuck River,upstream Kelseytown Road,CLINTON,CT5103-00_02,41.3296,-72.5242,5103
14290,Menunketesuck River,at Route 80,KILLINGWORTH,CT5103-00_03,41.3565,-72.5405,5103
14291,Mianus River,June Road,STAMFORD,CT7407-00_02,41.1043,-73.5865,7407
14292,Mianus River,Old Mill Road,STAMFORD,CT7407-00_02,41.0934,-73.5857,7407
14293,Mianus River,upstream Merribrook Lane,STAMFORD,CT7407-00_02,41.0806,-73.5812,7407
14294,Mill Brook,downstream Route 12 bridge,PLAINFIELD,CT3713-00_02,41.6643,-71.9198,3713
14295,Mill Brook,downtstream 200 ft RR Bridge,PLAINFIELD,CT3713-00_01,41.6669,-71.9247,3713
14296,Mill Brook,at RR tracks,PLAINFIELD,CT3713-00_01,41.667,-71.9227,3713
14297,Mill Brook,upstream 200 feet Fry Brook confluence,PLAINFIELD,CT3713-00_01,41.6671,-71.9262,3713
14298,Mill River,upstream Lake Mohegan,FAIRFIELD,CT7108-00_02a,41.208,-73.257,7108
14299,Mill River,upstream Mill Plain Road (Burr Street),FAIRFIELD,CT7108-00_01,41.1738,-73.2684,7108
14300,Mill River,upstream Tuttle Road,HAMDEN,CT5302-00_02,41.4307,-72.904,5302
14301,Mill River,downstream Dixwell Avenue,HAMDEN,CT5302-00_02,41.3828,-72.8967,5302
14302,Milli-Q,177 at Toxicity Lab Water,HARTFORD,10_Clinton_Street,41.802014,-72.661188,4000
14303,Muddy Brook,downstream Route 168 (Main Street),SUFFIELD,CT4101-00_01,41.9838,-72.6582,4101
14304,Muddy Brook,downstream Route 169 Bridge,WOODSTOCK,CT3708-01_03,42.0135,-72.0042,3708
14305,Muddy Brook,between confluence w/trib (MB2) and dirt road crossing,WOODSTOCK,CT3708-01_02,42.0147,-72.0017,3708
14306,Muddy Brook,upstream Green Road,WOODSTOCK,CT3708-01_02,42.0118,-71.9934,3708
14307,Moss Brook,10 meters upstream confluence with Muddy Brook,WOODSTOCK,NOSEG,42.0153,-72.0024,3708
14308,Muddy River,adjacent Velvet Road,NORTH HAVEN,CT5208-00_02a,41.3685,-72.8417,5208
14309,Muddy River,downstream Liney Hill Road,WALLINGFORD,CT5208-00_03,41.458,-72.7685,5208
14310,Muddy River,upstream Patten Road at Hansen Park,NORTH HAVEN,CT5208-00_02a,41.3802,-72.8271,5208
14311,Mudge Pond Brook,upstream Route 361 (4),SHARON,CT6301-00_02,41.8908,-73.4804,6301
14312,Mudge Pond Brook,downstream Kings Hill Road,SHARON,CT6301-00_01,41.8835,-73.4911,6301
14313,Natchaug River,upstream confluence with Shetucket River,WINDHAM,CT3200-00_01,41.7155,-72.1941,3200
14314,Natchaug River,downstream North Bear Hill Road,CHAPLIN,CT3200-00_02,41.8008,-72.1182,3200
14315,Naugatuck River,at Division Street,ANSONIA,CT6900-00_01,41.331,-73.0793,6900
14316,Naugatuck River,"""Frost Bridge"" - upstream Frost Bridge Echo Lake Rd and Route 262",WATERTOWN,CT6900-00_05,41.6159,-73.0579,6900
14317,Naugatuck River,behind Fire Station,BEACON FALLS,CT6900-00_02,41.4435,-73.0642,6900
14318,Naugatuck River,off Pershing Drive,ANSONIA,CT6900-00_01,41.3387,-73.0806,6900
14319,Naugatuck River,upstream falls at Campville Road,HARWINTON,CT6900-00_06,41.7361,-73.1054,6900
14320,Naugatuck River,at Leadmine Road,THOMASTON,CT6900-00_06,41.7026,-73.0639,6900
14321,Naugatuck River,downstream Reynolds Bridge at first dirt pull off,THOMASTON,CT6900-00_06,41.6497,-73.0774,6900
14322,Naugatuck River,between RR crossing and Dredge Hole impoundment,THOMASTON,CT6900-00_05,41.631,-73.0772,6900
14323,Naugatuck River,Adjacent to 300 Chase River Road,WATERBURY,CT6900-00_04,41.5894,-73.0574,6900
14324,Naugatuck River,at West Main Street,WATERBURY,CT6900-00_03,41.5571,-73.0544,6900
14325,Naugatuck River,downstream Freight Street,WATERBURY,CT6900-00_03,41.5529,-73.0522,6900
14326,Naugatuck River,downstream Bank Street,WATERBURY,CT6900-00_03,41.5471,-73.0434,6900
14327,Naugatuck River,downstream Washington Street,WATERBURY,CT6900-00_03,41.5437,-73.04,6900
14328,Naugatuck River,downstream Eagle Street,WATERBURY,CT6900-00_03,41.5356,-73.0368,6900
14329,Naugatuck River,upstream South Leonard Street,WATERBURY,CT6900-00_03,41.5304,-73.0402,6900
14330,Naugatuck River,at Bristol Street,WATERBURY,CT6900-00_02,41.5182,-73.0536,6900
14331,Naugatuck River,upstream Route 68,NAUGATUCK,CT6900-00_02,41.5051,-73.0469,6900
14332,Naugatuck River,adjacent North end of Linden Park,NAUGATUCK,CT6900-00_02,41.5002,-73.0503,6900
14333,Naugatuck River,at footbridge,NAUGATUCK,CT6900-00_02,41.5017,-73.0483,6900
14334,Naugatuck River,at Route 63,NAUGATUCK,CT6900-00_02,41.4834,-73.0523,6900
14335,Naugatuck River,300 m upstream Maple Street,NAUGATUCK,CT6900-00_02,41.4899,-73.0527,6900
14336,Naugatuck River,upstream Beacon Valley Brook Confluence (Cross Street),NAUGATUCK,CT6900-00_02,41.4683,-73.053,6900
14337,Naugatuck River,at Depot Street,BEACON FALLS,CT6900-00_02,41.4427,-73.0626,6900
14338,Naugatuck River,downstream Broad Street,SEYMOUR,CT6900-00_01,41.3921,-73.0748,6900
14339,Naugatuck River,at Route 34,DERBY,CT6900-00_01,41.3189,-73.0818,6900
14340,Naugatuck River,at East Albert Street,TORRINGTON,CT6900-00_08,41.7959,-73.1174,6900
14341,Naugatuck River,at Palmer Bridge Street,TORRINGTON,CT6900-00_08,41.7891,-73.1145,6900
14342,Naugatuck River,upstream POTW discharge,TORRINGTON,CT6900-00_08,41.7811,-73.1173,6900
14343,Naugatuck River,adjacent POTW discharge,TORRINGTON,CT6900-00_07,41.7807,-73.1175,6900
14344,Naugatuck River,downstream East POTW discharge,TORRINGTON,CT6900-00_07,41.7806,-73.1175,6900
14345,Naugatuck River,downstream West POTW discharge,TORRINGTON,CT6900-00_07,41.7805,-73.1176,6900
14346,Naugatuck River,downstream POTW outfall at next riffle,TORRINGTON,CT6900-00_07,41.7798,-73.1177,6900
14347,Naugatuck River,downstream Upper Bogue Road,TORRINGTON,CT6900-00_07,41.7769,-73.1181,6900
14348,Naugatuck River,downstream Route 118,HARWINTON,CT6900-00_07,41.7631,-73.1173,6900
14349,Nepaug River,upstream Route 202 & Steadman Road,NEW HARTFORD,CT4310-00_02,41.83,-72.9947,4310
14350,No Name Trib A,upstream P&W,MIDDLETOWN,CT4000-00_02-INTO,41.5381,-72.5639,4000
14351,No Name Trib B,upstream P&W,MIDDLETOWN,CT4000-00_02-INTO,41.5393,-72.564,4000
14352,No Name Trib B,downstream P&W,MIDDLETOWN,CT4000-00_02-INTO,41.5433,-72.5595,4000
14353,No Name Trib C,upstream P&W,MIDDLETOWN,CT4000-00_02-INTO,41.5437,-72.5646,4000
14354,No Name Trib C,downstream P&W,MIDDLETOWN,CT4000-00_02-INTO,41.5467,-72.5614,4000
14355,Nonewaug River,downstream Route 47 (Washington Road),WOODBURY,CT6802-00_01,41.5575,-73.2122,6802
14356,Noroton River,downstream Middlesex Road,STAMFORD,CT7403-00_01,41.0753,-73.5155,7403
14357,Noroton River,upstream Camp Avenue,STAMFORD,CT7403-00_02,41.0954,-73.5143,7403
14358,Noroton River,Behind St. John's Cemetary,STAMFORD,CT7403-00_02,41.0898,-73.5152,7403
14359,North Farms Reservoir,upstream Route 68,WALLINGFORD,CT5207-00-1-L1_01,41.4853,-72.7813,5207
14360,Norwalk River,upstream Cooper Pond Brook Confluence at Branchville RR,RIDGEFIELD,CT7300-00_05,41.2675,-73.4414,7300
14361,Norwalk River,upstream Perry Avenue,NORWALK,CT7300-00_01,41.1359,-73.426,7300
14362,Ridgefield Brook,upstream Route 35 near old pierce road,RIDGEFIELD,CT7300-02_01,41.3158,-73.4792,7300
14363,Norwalk River,downstream Route 7 & South Stonehenge Road,RIDGEFIELD,CT7300-00_05,41.3101,-73.4691,7300
14364,Norwalk River,downstream of wpcf outfall pipe Route 107 & Route 57 bridge,REDDING,CT7300-00_03b,41.2569,-73.4288,7300
14365,Norwalk River,downstream G & B discharge at wpcf outfall,REDDING,CT7300-00_03a,41.2562,-73.4293,7300
14366,Norwalk River,upstream Old Mill Road,WILTON,CT7300-00_03a,41.246,-73.4341,7300
14367,Norwalk River,in G & B mixing zone 50 m DS WPCF outfall pipe,REDDING,CT7300-00_03a,41.2559,-73.4296,7300
14368,Norwalk River,upstream RR bridge,REDDING,CT7300-00_03a,41.2545,-73.4301,7300
14369,Norwalk River,downstream School Road at YMCA,WILTON,CT7300-00_02,41.2048,-73.4306,7300
14370,Norwalk River,downstream of Old Ridgefield Road crossing In Schenck's Island Park,WILTON,CT7300-00_02,41.1909,-73.4297,7300
14371,Norwalk River,upstream Route 123,NORWALK,CT7300-00_01,41.1267,-73.4295,7300
14372,Papermill Pond tributary to,upstream Potash Hill Road,SPRAGUE,CT3805-00-3-L6_01-IN,41.6314,-72.0431,3708
14373,Papermill Pond tributary to,upstream paper storage parking lot,SPRAGUE,CT3805-00-3-L6_01-IN,41.6251,-72.044,3708
14374,Papermill Pond tributary to,downstream paper storage parking lot,SPRAGUE,CT3805-00-3-L6_01-IN,41.6236,-72.0448,3708
14375,Papermill Pond tributary to,downstream 1st discharge,SPRAGUE,CT3805-00-3-L6_01-IN,41.6228,-72.0449,3708
14376,Papermill Pond tributary to,upstream RR bridge,SPRAGUE,CT3805-00-3-L6_01-IN,41.6222,-72.0448,3708
14377,Pattaconk Brook,first crossing Route 148 downstream Route 9,CHESTER,CT4017-03_01,41.3991,-72.4651,4017
14378,Patton Brook,downstream River Street,SOUTHINGTON,CT5200-02_01,41.6476,-72.8696,5200
14379,Pawcatuck River,under White Rock Road Bridge at state line,STONINGTON,CT1000-00_01,41.3978,-71.8422,1000
14380,Peake Brook tributary to,upstream Carson Road,POMFRET,NOSEG,41.9091,-71.954,3708
